stock_code,product_name,product_family
10002,INFLATABLE POLITICAL GLOBE,Other
10002R,ROBOT PENCIL SHARPNER,Other
10120,DOGGY RUBBER,Other
10123C,HEARTS WRAPPING TAPE,Decoration
10124A,SPOTS ON RED BOOKCOVER TAPE,Other
10125,MINI FUNKY DESIGN TAPES,Other
10133,COLOURING PENCILS BROWN TUBE,Other
10134,COLOURING PENCILS BROWN TUBE,Other
10135,COLOURING PENCILS BROWN TUBE,Other
10138,ASSORTED COLOUR JUMBO PEN,Other
11001,ASSTD DESIGN RACING CAR PEN,Other
15030,FAN BLACK FRAME,Decoration
15034,PAPER POCKET TRAVELING FAN,Other
15036,ASSORTED COLOURS SILK FAN,Other
15039,SANDALWOOD FAN,Other
15044A,PINK PAPER PARASOL,Other
15044B,BLUE PAPER PARASOL,Other
15044C,PURPLE PAPER PARASOL,Other
15044D,RED PAPER PARASOL,Other
15056BL,EDWARDIAN PARASOL BLACK,Other
15056N,EDWARDIAN PARASOL NATURAL,Other
15056P,EDWARDIAN PARASOL PINK,Other
15058A,BLUE WHITE SPOTS GARDEN PARASOL,Other
15058B,PINK WHITE SPOTS GARDEN PARASOL,Other
15058C,ICE CREAM DESIGN GARDEN PARASOL,Other
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchen
15060b,FAIRY CAKE DESIGN UMBRELLA,Kitchen
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Other
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Other
16011,ANIMAL STICKERS,Other
16012,FOOD/DRINK SPUNGE STICKERS,Other
16014,SMALL CHINESE STYLE SCISSOR,Other
16015,MEDIUM CHINESE STYLE SCISSOR,Other
16016,LARGE CHINESE STYLE SCISSOR,Other
16020C,CLEAR STATIONERY BOX SET,Storage
16033,MINI HIGHLIGHTER PENS,Other
16043,POP ART PUSH DOWN RUBBER,Other
16044,POP-ART FLUORESCENT PENS,Other
16045,POPART WOODEN PENCILS ASST,Other
16046,TEATIME PEN CASE & PENS,Other
16047,POP ART PEN CASE & PENS,Other
16048,TEATIME ROUND PENCIL SHARPENER,Other
16049,TEATIME GEL PENS ASST,Other
16050,TEATIME PENCIL WITH RUBBER,Other
16051,TEATIME PENCIL W STAMP ASST,Other
16052,TEATIME PUSH DOWN RUBBER,Other
16053,POPART COL BALLPOINT PEN ASST,Other
16054,POPART RECT PENCIL SHARPENER ASST,Other
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,Other
16156L,"WRAP, CAROUSEL",Other
16156N,"WRAP, FRIENDSHIP ON GREEN",Other
16156S,WRAP PINK FAIRY CAKES,Kitchen
16161E,WRAP BOUDOIR,Other
16161G,WRAP BAD HAIR DAY,Other
16161M,WRAP  PINK FLOCK,Other
16161P,WRAP ENGLISH ROSE,Other
16161U,"WRAP,SUKI AND FRIENDS",Other
16162L,THE KING GIFT BAG,Storage
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Storage
16168S,FUNKY MONKEY GIFT BAG SMALL,Storage
16169A,WRAP CHRISTMAS DECOUPAGE,Other
16169K,WRAP FOLK ART,Other
16169M,WRAP DAISY CARPET,Other
16169N,WRAP BLUE RUSSIAN FOLKART,Other
16169P,WRAP GREEN RUSSIAN FOLKART,Other
16201A,PASTEL PINK PHOTO ALBUM,Other
16202A,PASTEL PINK PHOTO ALBUM,Other
16202B,PASTEL BLUE PHOTO ALBUM,Other
16202C,BEIGE PHOTO ALBUM,Other
16202E,BLACK PHOTO ALBUM,Other
16206B,RED PURSE WITH PINK HEART,Decoration
16207A,PINK STRAWBERRY HANDBAG,Other
16207B,PINK HEART RED HANDBAG,Decoration
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,Other
16216,LETTER SHAPE PENCIL SHARPENER,Other
16218,CARTOON  PENCIL SHARPENERS,Other
16219,HOUSE SHAPE PENCIL SHARPENER,Other
16225,RATTLE SNAKE EGGS,Other
16235,RECYCLED PENCIL WITH RABBIT ERASER,Other
16236,KITTY PENCIL ERASERS,Other
16237,SLEEPING CAT ERASERS,Other
16238,PARTY TIME PENCIL ERASERS,Other
16239,BALLERINA HEART DECORATION.,Decoration
16243B,BROWN COZY SQUARE PHOTO ALBUM,Other
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,Other
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Other
16245A,PINK MINI STATIONERY SET W CASE,Other
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Other
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,Other
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,Decoration
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Storage
16259,PIECE OF CAMO STATIONERY SET,Other
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Other
17003,BROCADE RING PURSE,Jewellery
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Decoration
17011A,ORIGAMI VANILLA INCENSE+FLOWER,Other
17011D,ORIGAMI ROSE INCENSE+FLOWER,Other
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Other
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Lighting
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Lighting
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,Other
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Lighting
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Lighting
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Other
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,Other
17013D,ORIGAMI ROSE INCENSE IN TUBE,Other
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,Other
17014A,ORIGAMI VANILLA INCENSE CONES,Other
17014D,ORIGAMI ROSE INCENSE CONES,Other
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,Other
17021,NAMASTE SWAGAT INCENSE,Other
17027A,INCENSE BAZAAR CANNABIS,Other
17033,"BROCADE PURSE,SMALL ARCH BUTTON",Other
17038,PORCELAIN BUDAH INCENSE HOLDER,Other
17039,INLAID WOOD INCENSE HOLDER,Other
17084A,TRANQUILITY MASALA INCENSE,Other
17084J,LOVE POTION MASALA INCENSE,Other
17084N,FAIRY DREAMS INCENSE,Other
17084P,DRAGONS BLOOD INCENSE,Other
17084R,ASSORTED INCENSE PACK,Other
17090A,LAVENDER INCENSE 40 CONES IN TIN,Other
17090D,VANILLA INCENSE 40 CONES IN TIN,Other
17091A,LAVENDER INCENSE IN TIN,Other
17091B,JASMINE TEA INCENSE IN TIN,Kitchen
17091F,SANDALWOOD INCENSE IN TIN,Other
17091J,VANILLA INCENSE IN TIN,Other
17096,ASSORTED LAQUERED INCENSE HOLDERS,Other
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Other
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,Other
17109A,FLOWER FAIRY INCENSE LILY,Other
17109B,FLOWER FAIRY INCENSE LAVENDER,Other
17109C,FLOWER FAIRY INCENSE ROSE,Other
17109D,FLOWER FAIRY INCENSE BOUQUET,Other
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,Storage
17129D,CLEAR COLOUR GLASS GEMS IN BAG,Storage
17129F,DEEP BLUE GLASS GEMS IN BAG,Storage
17136A,BLUE STONES ON WIRE FOR CANDLE,Lighting
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,Other
17164D,ASS COL SMALL SAND FROG P'WEIGHT,Other
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,Other
17165D,ASS COL LARGE SAND FROG P'WEIGHT,Other
17174,ASSTD RASTA KEY-CHAINS,Other
17178,FLAT PALM T-LIGHT HOLDER,Lighting
17181,CIRCLE OF FRIENDS CANDLE HOLDER,Lighting
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,Lighting
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Other
18010,ASSORTED FRAGRANCE BATH CONFETTI,Other
18094C,WHITE AND BLUE CERAMIC OIL BURNER,Other
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,Other
18096c,WHITE ROUND PORCELAIN TLIGHT HOLDER,Other
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,Lighting
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,Lighting
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Lighting
18098B,BLUE PORCELAIN B'FLY OIL BURNER,Other
18098C,PORCELAIN BUTTERFLY OIL BURNER,Other
18098c,PORCELAIN BUTTERFLY OIL BURNER,Other
20615,BLUE SPOTTY PASSPORT COVER,Other
20616,CHERRY BLOSSOM PASSPORT COVER,Other
20617,FIRST CLASS PASSPORT COVER,Other
20618,QUEEN OF THE SKIES PASSPORT COVER,Other
20619,TROPICAL PASSPORT COVER,Other
20620,RED SPOTTY PASSPORT COVER,Other
20621,ECONOMY PASSPORT COVER,Other
20622,VIPPASSPORT COVER,Other
20652,BLUE SPOTTY LUGGAGE TAG,Other
20653,CHERRY BLOSSOM LUGGAGE TAG,Other
20654,FIRST CLASS LUGGAGE TAG,Other
20655,QUEEN OF SKIES LUGGAGE TAG,Other
20657,TROPICAL LUGGAGE TAG,Other
20658,RED SPOTTY LUGGAGE TAG,Other
20659,ECONOMY LUGGAGE TAG,Other
20660,VIP LUGGAGE TAG,Other
20661,BLUE SPOTTY PURSE,Other
20662,FIRST CLASS HOLIDAY PURSE,Other
20663,QUEEN OF THE SKIES HOLIDAY PURSE,Other
20664,TROPICAL HOLIDAY PURSE,Other
20665,RED SPOTTY PURSE,Other
20666,ECONOMY HOLIDAY PURSE,Other
20667,CHERRY BLOSSOM PURSE,Other
20668,DISCO BALL CHRISTMAS DECORATION,Decoration
20669,RED HEART LUGGAGE TAG,Decoration
20670,VIP HOLIDAY PURSE,Other
20671,BLUE TEATIME PRINT BOWL,Kitchen
20672,PINK TEATIME PRINT BOWL,Kitchen
