invoice_no,stock_code,description,quantity,invoice_date,unit_price_gbp,customer_id,country,market
493410,TEST001,This is a test product.,5,2010-01-04 09:24:00,4.5,12346,United Kingdom,UK
493412,TEST001,This is a test product.,5,2010-01-04 09:53:00,4.5,12346,United Kingdom,UK
493413,21723,ALPHABET HEARTS STICKER SHEET,1,2010-01-04 09:54:00,0.85,,United Kingdom,UK
493413,21724,PANDA AND BUNNIES STICKER SHEET,1,2010-01-04 09:54:00,0.85,,United Kingdom,UK
493413,84578,ELEPHANT TOY WITH BLUE T-SHIRT,1,2010-01-04 09:54:00,3.75,,United Kingdom,UK
493414,21527,RETRO SPOT TRADITIONAL TEAPOT,12,2010-01-04 10:28:00,6.95,14590,United Kingdom,UK
493414,21531,RETRO SPOT SUGAR JAM BOWL,24,2010-01-04 10:28:00,2.1,14590,United Kingdom,UK
493414,21533,RETRO SPOT LARGE MILK JUG,12,2010-01-04 10:28:00,4.25,14590,United Kingdom,UK
493414,21844,RETRO SPOT MUG,36,2010-01-04 10:28:00,2.55,14590,United Kingdom,UK
493414,35001G,HAND OPEN SHAPE GOLD,2,2010-01-04 10:28:00,4.25,14590,United Kingdom,UK
493414,37508,NEW ENGLAND CERAMIC CAKE SERVER,2,2010-01-04 10:28:00,2.55,14590,United Kingdom,UK
493427,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,2010-01-04 10:43:00,2.55,13287,United Kingdom,UK
493427,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-01-04 10:43:00,1.25,13287,United Kingdom,UK
493427,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,4,2010-01-04 10:43:00,4.25,13287,United Kingdom,UK
493427,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2010-01-04 10:43:00,2.25,13287,United Kingdom,UK
493427,21577,SAVE THE PLANET COTTON TOTE BAG,6,2010-01-04 10:43:00,2.25,13287,United Kingdom,UK
493427,21681,GIANT MEDINA STAMPED METAL BOWL,2,2010-01-04 10:43:00,9.95,13287,United Kingdom,UK
493427,21682,LARGE MEDINA STAMPED METAL BOWL,4,2010-01-04 10:43:00,4.95,13287,United Kingdom,UK
493427,21777,RECIPE BOX WITH METAL HEART,2,2010-01-04 10:43:00,7.95,13287,United Kingdom,UK
493427,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-01-04 10:43:00,1.25,13287,United Kingdom,UK
493427,22214,CANDLE PLATE LACE WHITE,6,2010-01-04 10:43:00,2.55,13287,United Kingdom,UK
493427,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,2010-01-04 10:43:00,1.49,13287,United Kingdom,UK
493427,72369A,PINK CLEAR GLASS CANDLE PLATE,6,2010-01-04 10:43:00,1.25,13287,United Kingdom,UK
493427,72780,BLACK SILOUETTE CANDLE PLATE,12,2010-01-04 10:43:00,0.85,13287,United Kingdom,UK
493427,79000,MOROCCAN TEA GLASS,12,2010-01-04 10:43:00,0.85,13287,United Kingdom,UK
493427,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-01-04 10:43:00,5.95,13287,United Kingdom,UK
