invoice_no,stock_code,description,quantity,invoice_date,unit_price_gbp,customer_id,country,market
499510,21114,LAVENDER SCENTED FABRIC HEART,10,2010-03-01 08:38:00,1.25,14798,United Kingdom,UK
499510,21135,VICTORIAN  METAL POSTCARD SPRING,16,2010-03-01 08:38:00,1.69,14798,United Kingdom,UK
499510,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,12,2010-03-01 08:38:00,2.1,14798,United Kingdom,UK
499510,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-03-01 08:38:00,1.25,14798,United Kingdom,UK
499510,35096B,RED VICTORIAN FABRIC HEART BOX,24,2010-03-01 08:38:00,0.42,14798,United Kingdom,UK
499510,51014C,"FEATHER PEN,COAL BLACK",12,2010-03-01 08:38:00,0.85,14798,United Kingdom,UK
499510,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,2010-03-01 08:38:00,4.25,14798,United Kingdom,UK
499510,84279B,CHERRY BLOSSOM DECORATIVE FLASK,4,2010-03-01 08:38:00,3.75,14798,United Kingdom,UK
499510,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,2010-03-01 08:38:00,3.75,14798,United Kingdom,UK
499510,85034A,3 GARDENIA MORRIS BOXED CANDLES,4,2010-03-01 08:38:00,4.25,14798,United Kingdom,UK
499510,85232D,SET/3 DECOUPAGE STACKING TINS,3,2010-03-01 08:38:00,4.95,14798,United Kingdom,UK
499511,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2010-03-01 08:55:00,2.95,16717,United Kingdom,UK
499511,21354,TOAST ITS - BEST MUM,12,2010-03-01 08:55:00,1.25,16717,United Kingdom,UK
499511,21497,FANCY FONTS BIRTHDAY WRAP,25,2010-03-01 08:55:00,0.42,16717,United Kingdom,UK
499511,21624,VINTAGE UNION JACK DOORSTOP,3,2010-03-01 08:55:00,5.95,16717,United Kingdom,UK
499511,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-03-01 08:55:00,2.95,16717,United Kingdom,UK
499511,22107,PIZZA PLATE IN BOX,4,2010-03-01 08:55:00,3.75,16717,United Kingdom,UK
499511,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,2010-03-01 08:55:00,4.95,16717,United Kingdom,UK
499511,22352,LUNCHBOX WITH CUTLERY RETROSPOT,6,2010-03-01 08:55:00,2.55,16717,United Kingdom,UK
499511,79323W,WHITE CHERRY LIGHTS,24,2010-03-01 08:55:00,5.45,16717,United Kingdom,UK
499511,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-03-01 08:55:00,2.95,16717,United Kingdom,UK
499511,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2010-03-01 08:55:00,1.95,16717,United Kingdom,UK
499511,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,4,2010-03-01 08:55:00,4.25,16717,United Kingdom,UK
499511,85035C,ROSE 3 WICK MORRIS BOX CANDLE,4,2010-03-01 08:55:00,4.25,16717,United Kingdom,UK
499511,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-03-01 08:55:00,2.95,16717,United Kingdom,UK
499512,20685,DOOR MAT RED SPOT,2,2010-03-01 09:13:00,7.49,16202,United Kingdom,UK
499512,21300,ANTIQUE EDWARDIAN DRESSER,4,2010-03-01 09:13:00,12.75,16202,United Kingdom,UK
499512,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,2010-03-01 09:13:00,1.25,16202,United Kingdom,UK
499512,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,36,2010-03-01 09:13:00,1.25,16202,United Kingdom,UK
499512,21764,VINTAGE WOODEN PLATE RACK,1,2010-03-01 09:13:00,39.95,16202,United Kingdom,UK
499512,21765,HANGING METAL BIRD BATH,2,2010-03-01 09:13:00,7.95,16202,United Kingdom,UK
499512,21770,OPEN CLOSED METAL SIGN,2,2010-03-01 09:13:00,4.95,16202,United Kingdom,UK
499512,22168,ORGANISER WOOD ANTIQUE WHITE,2,2010-03-01 09:13:00,8.5,16202,United Kingdom,UK
499512,22378,WALL TIDY RETROSPOT,5,2010-03-01 09:13:00,2.1,16202,United Kingdom,UK
499512,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-03-01 09:13:00,1.95,16202,United Kingdom,UK
499512,22495,SET OF 2 ROUND TINS CAMEMBERT,6,2010-03-01 09:13:00,2.95,16202,United Kingdom,UK
499512,22496,SET OF 2 ROUND TINS DUTCH CHEESE,6,2010-03-01 09:13:00,2.95,16202,United Kingdom,UK
499512,84467,ENGLISH ROSE DESIGN QUILTED THROW,6,2010-03-01 09:13:00,12.75,16202,United Kingdom,UK
499512,84619,BLUE GINGHAM ROSE QUILT,5,2010-03-01 09:13:00,12.75,16202,United Kingdom,UK
499512,84909A,PINK PAISLEY QUILT,4,2010-03-01 09:13:00,12.75,16202,United Kingdom,UK
499512,85099B,JUMBO BAG RED WHITE SPOTTY,10,2010-03-01 09:13:00,1.95,16202,United Kingdom,UK
499513,21169,YOU'RE CONFUSING ME METAL SIGN,12,2010-03-01 09:24:00,1.69,14949,United Kingdom,UK
499513,21173,LOO ROLL  METAL SIGN,12,2010-03-01 09:24:00,1.65,14949,United Kingdom,UK
499513,21181,PLEASE ONE PERSON METAL SIGN,12,2010-03-01 09:24:00,2.1,14949,United Kingdom,UK
499513,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-03-01 09:24:00,1.25,14949,United Kingdom,UK
499513,22054,MINI CAKE STAND HANGING HEARTS,8,2010-03-01 09:24:00,1.65,14949,United Kingdom,UK
499513,82600,NO SINGING METAL SIGN,12,2010-03-01 09:24:00,2.1,14949,United Kingdom,UK
499515,21670,BLUE SPOT CERAMIC DRAWER KNOB,24,2010-03-01 09:30:00,1.25,16202,United Kingdom,UK
499516,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-03-01 09:56:00,1.95,12779,Poland,Europe
499516,21232,STRAWBERRY CERAMIC TRINKET BOX,48,2010-03-01 09:56:00,1.25,12779,Poland,Europe
499516,21930,JUMBO STORAGE BAG SKULLS,10,2010-03-01 09:56:00,1.95,12779,Poland,Europe
499516,22055,MINI CAKE STAND  HANGING STRAWBERY,16,2010-03-01 09:56:00,1.65,12779,Poland,Europe
499516,22057,CERAMIC PLATE STRAWBERRY DESIGN,12,2010-03-01 09:56:00,1.49,12779,Poland,Europe
499516,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,6,2010-03-01 09:56:00,2.95,12779,Poland,Europe
499516,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-03-01 09:56:00,1.25,12779,Poland,Europe
499516,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,2010-03-01 09:56:00,1.49,12779,Poland,Europe
499516,47504E,ENGLISH ROSE SCISSORS,12,2010-03-01 09:56:00,1.25,12779,Poland,Europe
499516,47504K,ENGLISH ROSE GARDEN SECATEURS,12,2010-03-01 09:56:00,1.95,12779,Poland,Europe
499516,47559B,TEA TIME OVEN GLOVE,10,2010-03-01 09:56:00,1.25,12779,Poland,Europe
499516,47591B,SCOTTIES DES CHILD'S APRON,8,2010-03-01 09:56:00,1.65,12779,Poland,Europe
499516,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2010-03-01 09:56:00,1.95,12779,Poland,Europe
499516,84815,SET OF 3 DANISH ROSE PLANTERS,6,2010-03-01 09:56:00,4.25,12779,Poland,Europe
499516,84949,SILVER HANGING T-LIGHT HOLDER,12,2010-03-01 09:56:00,1.65,12779,Poland,Europe
499517,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-03-01 09:58:00,1.95,12598,France,Europe
499517,20725,LUNCH BAG RED SPOTTY,10,2010-03-01 09:58:00,1.65,12598,France,Europe
499517,20726,LUNCH BAG WOODLAND,10,2010-03-01 09:58:00,1.65,12598,France,Europe
499517,20750,RED/WHITE DOT MINI CASES,2,2010-03-01 09:58:00,7.95,12598,France,Europe
499517,20977,36 PENCILS TUBE WOODLAND,16,2010-03-01 09:58:00,1.25,12598,France,Europe
499517,20979,36 PENCILS TUBE RED SPOTTY,16,2010-03-01 09:58:00,1.25,12598,France,Europe
499517,20981,12 PENCILS TALL TUBE WOODLAND,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,20983,12 PENCILS TALL TUBE RED SPOTTY,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21058,PARTY INVITES WOODLAND,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21077,SET/20 WOODLAND PAPER NAPKINS,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21080,SET/20 RED SPOTTY PAPER NAPKINS,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21085,SET/6 WOODLAND PAPER CUPS,12,2010-03-01 09:58:00,0.65,12598,France,Europe
499517,21091,SET/6 WOODLAND PAPER PLATES,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21121,SET/10 RED SPOTTY PARTY CANDLES,24,2010-03-01 09:58:00,1.25,12598,France,Europe
499517,21226,POCKET MIRROR WOODLAND,15,2010-03-01 09:58:00,1.25,12598,France,Europe
499517,21239,PINK  SPOTTY CUP,8,2010-03-01 09:58:00,0.85,12598,France,Europe
499517,21240,BLUE  SPOTTY CUP,8,2010-03-01 09:58:00,0.85,12598,France,Europe
