description,quantity,unit_price_gbp,country
15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,6.95,United Kingdom
PINK CHERRY LIGHTS,12,6.75,United Kingdom
 WHITE CHERRY LIGHTS,12,6.75,United Kingdom
"RECORD FRAME 7"" SINGLE SIZE ",48,2.1,United Kingdom
CHRISTMAS PUDDING TRINKET POT ,12,1.45,France
BAKING SET 9 PIECE RETROSPOT ,9,4.95,France
RETRO SPOT TEA SET CERAMIC 11 PC ,9,4.95,France
LUNCHBOX WITH CUTLERY RETROSPOT ,12,2.55,France
PURPLE SWEETHEART BRACELET,-3,4.25,United Kingdom
SCANDINAVIAN REDS RIBBONS,12,1.25,Germany
PACK OF 60 MUSHROOM CAKE CASES,24,0.55,Germany
RED SPOTS  WRAP ,25,0.42,Germany
6 RIBBONS RUSTIC CHARM,12,1.65,Germany
WOOLLY HAT SOCK GLOVE ADVENT STRING,-1,5.95,France
"POPCORN HOLDER , LARGE",-7,1.65,Germany
